time,energy,mass,size
1,2116,16.8464,0
2,4232,16.6992,0
3,6348,16.552,0
4,8464,16.4048,0
5,10576,16.2608,0
6,12692,16.1136,0
7,14804,15.9696,0
8,16904,15.8304,0
9,19004,15.6912,0
10,21104,15.552,0
11,23196,15.416,0
12,25272,15.288,0
13,27340,15.1632,0
14,29392,15.0464,0
15,31436,14.9312,0
16,33480,14.816,0
17,35524,14.7024,0
18,37556,14.592,0
19,39540,14.5024,0
20,41540,14.4064,0
21,43516,14.3216,0
22,45476,14.2416,0
23,47404,14.1728,0
24,49352,14.096,0
25,51268,14.0336,0
26,53220,13.9584,0
27,55120,13.8992,0
28,57072,13.8192,0
29,58964,13.7664,0
30,60908,13.6896,0
31,62820,13.6272,0
32,64776,13.5472,0
33,66676,13.4896,0
34,68604,13.4176,0
35,70500,13.3616,0
36,72432,13.2816,0
37,74320,13.2208,0
38,76244,13.1504,0
39,78112,13.0976,0
40,80032,13.032,0
41,81916,12.9712,0
42,83808,12.9008,0
43,85696,12.8368,0
44,87580,12.776,0
45,89424,12.72,0
46,91284,12.6592,0
47,93148,12.6032,0
48,95016,12.5424,0
49,96840,12.4896,0
50,98696,12.4304,0
51,100552,12.3712,0
52,102364,12.3264,0
53,104188,12.2688,0
54,106016,12.2128,0
55,107832,12.1632,0
56,109656,12.1024,0
57,111440,12.0592,0
58,113224,12.0128,0
59,115024,11.9616,0
60,116836,11.9072,0
61,118584,11.8656,0
62,120352,11.8176,0
63,122128,11.7696,0
64,123888,11.7312,0
65,125644,11.6816,0
66,127396,11.6384,0
67,129136,11.5952,0
68,130880,11.552,0
69,132632,11.5088,0
70,134364,11.4672,0
71,136092,11.4288,0
72,137836,11.3872,0
73,139568,11.3376,0
74,141292,11.3024,0
75,143036,11.264,0
76,144744,11.2224,0
77,146476,11.1824,0
78,148196,11.1408,0
79,149924,11.0944,0
80,151640,11.0544,0
81,153360,11.0224,0
82,155068,10.9824,0
83,156780,10.9408,0
84,158488,10.9072,0
85,160184,10.8672,0
86,161884,10.8288,0
87,163588,10.7856,0
88,165288,10.7472,0
89,166972,10.7168,0
90,168644,10.6832,0
91,170336,10.6384,0
92,172028,10.5952,0
93,173692,10.5648,0
94,175344,10.5312,0
95,177032,10.4832,0
96,178692,10.4528,0
97,180344,10.4208,0
98,182016,10.3824,0
99,183624,10.3488,0
100,185260,10.3216,0
