time,energy,mass,size
1,4,1.784,4
2,16,1.784,12
3,36,1.784,21
4,56,1.784,31
5,76,1.784,39
6,96,1.784,45
7,124,1.784,54
8,168,1.784,66
9,212,1.7824,77
10,264,1.7808,94
11,328,1.7776,113
12,384,1.7744,125
13,460,1.7712,139
14,532,1.768,155
15,600,1.768,169
16,672,1.7648,179
17,724,1.7632,181
18,796,1.7632,184
19,856,1.7616,185
20,888,1.7616,186
21,932,1.7616,188
22,968,1.7616,191
23,996,1.7616,197
24,1024,1.7616,202
25,1036,1.7616,202
26,1040,1.7616,203
27,1048,1.7616,206
28,1060,1.7616,210
29,1072,1.7616,214
30,1088,1.7616,220
31,1100,1.7616,224
32,1108,1.7616,227
33,1116,1.7616,231
34,1124,1.7616,235
35,1128,1.7616,237
36,1136,1.7616,240
37,1148,1.7616,246
38,1164,1.7616,252
39,1196,1.7616,260
40,1212,1.7616,266
41,1224,1.7616,270
42,1240,1.7616,274
43,1256,1.7616,279
44,1280,1.7616,287
45,1300,1.76,295
46,1324,1.7552,303
47,1340,1.752,308
48,1352,1.7488,313
49,1364,1.7488,316
50,1380,1.7488,319
51,1404,1.7488,326
52,1420,1.7488,333
53,1428,1.7488,335
54,1432,1.7488,336
55,1436,1.7488,337
56,1440,1.7488,338
57,1448,1.7472,340
58,1456,1.7456,341
59,1456,1.7456,341
