time,energy,mass,size
1,2116,16.4624,0
2,4232,16.3152,0
3,6348,16.168,0
4,8464,16.0208,0
5,10580,15.8736,0
6,12692,15.7296,0
7,14804,15.5856,0
8,16876,15.4576,0
9,18964,15.3248,0
10,21036,15.2,0
11,23112,15.072,0
12,25172,14.952,0
13,27232,14.8288,0
14,29288,14.712,0
15,31324,14.6016,0
16,33328,14.5008,0
17,35356,14.3952,0
18,37352,14.3008,0
19,39312,14.2208,0
20,41292,14.1312,0
21,43240,14.056,0
22,45168,13.9872,0
23,47096,13.92,0
24,49024,13.8496,0
25,50952,13.7792,0
26,52876,13.7136,0
27,54804,13.6464,0
28,56712,13.584,0
29,58644,13.5152,0
30,60560,13.4448,0
31,62476,13.3744,0
32,64380,13.3136,0
33,66304,13.2464,0
34,68200,13.1856,0
35,70116,13.1184,0
36,72016,13.056,0
37,73912,12.9856,0
38,75792,12.9264,0
39,77688,12.8672,0
40,79596,12.8016,0
41,81468,12.7408,0
42,83328,12.6752,0
43,85180,12.6176,0
44,87052,12.5568,0
45,88900,12.4976,0
46,90716,12.4448,0
47,92544,12.3952,0
48,94392,12.3392,0
49,96192,12.2928,0
50,98032,12.2256,0
51,99824,12.1808,0
52,101636,12.128,0
53,103404,12.0768,0
54,105176,12.0352,0
55,106968,11.9872,0
56,108736,11.9456,0
57,110496,11.8976,0
58,112276,11.8432,0
59,114032,11.8064,0
60,115784,11.7632,0
61,117528,11.7184,0
62,119276,11.68,0
63,120992,11.6384,0
64,122744,11.592,0
65,124500,11.552,0
66,126228,11.5088,0
67,127956,11.4688,0
68,129700,11.4336,0
69,131392,11.3888,0
70,133124,11.3456,0
71,134868,11.3088,0
72,136560,11.2688,0
73,138276,11.2288,0
74,140024,11.1872,0
75,141724,11.1472,0
76,143436,11.1136,0
77,145172,11.064,0
78,146868,11.024,0
79,148556,10.9904,0
80,150264,10.9504,0
81,151956,10.9136,0
82,153668,10.8736,0
83,155364,10.8336,0
84,157036,10.7968,0
85,158744,10.7504,0
86,160436,10.7152,0
87,162108,10.6832,0
88,163792,10.64,0
89,165468,10.6064,0
90,167136,10.5696,0
91,168792,10.5296,0
92,170472,10.4928,0
93,172144,10.4624,0
94,173808,10.424,0
95,175444,10.3856,0
96,177096,10.3584,0
97,178744,10.3248,0
98,180400,10.288,0
99,182040,10.256,0
100,183696,10.2288,0
101,185344,10.184,0
102,186972,10.1472,0
103,188572,10.1136,0
104,190192,10.088,0
105,191836,10.0416,0
106,193460,10.0064,0
107,195040,9.9808,0
108,196644,9.9504,0
109,198264,9.9136,0
110,199864,9.8816,0
111,201444,9.856,0
112,203024,9.8304,0
113,204628,9.7968,0
114,206240,9.7664,0
115,207832,9.728,0
116,209396,9.7024,0
117,210972,9.6736,0
118,212548,9.6432,0
119,214116,9.6128,0
120,215664,9.5776,0
121,217228,9.5424,0
122,218800,9.5168,0
123,220340,9.488,0
124,221860,9.4656,0
125,223404,9.4416,0
126,224944,9.4112,0
127,226496,9.376,0
128,228032,9.3488,0
129,229564,9.3248,0
130,231108,9.3008,0
131,232660,9.2672,0
132,234204,9.2352,0
133,235736,9.2112,0
134,237288,9.184,0
135,238816,9.1568,0
136,240324,9.1296,0
137,241856,9.1056,0
138,243400,9.0768,0
139,244960,9.0416,0
140,246508,9.0112,0
141,248004,8.992,0
142,249524,8.9632,0
143,251024,8.936,0
144,252548,8.9088,0
145,254060,8.88,0
146,255584,8.8528,0
147,257088,8.8224,0
148,258600,8.8,0
149,260116,8.7792,0
150,261632,8.7472,0
151,263120,8.7216,0
152,264624,8.6928,0
153,266116,8.6752,0
154,267604,8.6544,0
155,269112,8.6224,0
156,270592,8.584,0
157,272064,8.5648,0
158,273524,8.5408,0
159,275000,8.5088,0
160,276460,8.4864,0
161,277924,8.464,0
162,279404,8.44,0
163,280880,8.4128,0
164,282356,8.3824,0
165,283792,8.3616,0
166,285240,8.344,0
167,286680,8.3168,0
168,288148,8.2864,0
169,289584,8.2656,0
170,291020,8.2416,0
171,292424,8.2192,0
172,293760,8.1984,0
173,295152,8.1824,0
174,296564,8.1664,0
175,297988,8.1376,0
176,299420,8.1056,0
177,300812,8.0816,0
178,302220,8.064,0
179,303616,8.048,0
180,305004,8.0304,0
